Year,State,value
1938,Pa.,1329.77291
1938,R.I.,35.95100865
1938,S.C.,373.4187568
1938,S.D.,212.4807396
1938,Tenn.,403.6511875
1938,Texas,95.34994445
1938,Utah,1808.878505
1938,Va.,475.8150114
1938,Vt.,1652.668539
1938,Wash.,112.1908127
1938,Wis.,2348.047127
1938,W.Va.,595.1586433
1938,Wyo.,360.5691057
1939,Alaska,
1939,Ala.,182.6581379
1939,Ark.,123.536961
1939,Ariz.,144.0082645
1939,Calif.,939.4841562
1939,Colo.,525.2083333
1939,Conn.,937.5589623
1939,D.C.,497.4164134
1939,Del.,94.67680608
1939,Fla.,157.5344953
1939,Ga.,115.9615385
1939,Hawaii,
1939,Iowa,209.1071429
1939,Idaho,694.1778631
1939,Ill.,100.0887199
1939,Ind.,59.75609756
1939,Kan.,158.1962719
1939,Ky.,79.81120944
1939,La.,157.0479863
1939,Mass.,546.1697723
1939,Md.,852.8908719
1939,Maine,271.0992908
1939,Mich.,328.1613654
1939,Minn.,655.6297366
1939,Mo.,76.56621729
1939,Miss.,0
1939,Mont.,1973.333333
1939,N.C.,664.4991463
1939,N.D.,843.1677019
1939,Neb.,275.9484067
1939,N.H.,133.9795918
1939,N.J.,104.8680068
1939,N.M,316.1249203
1939,Nev.,
1939,N.Y.,331.3576869
1939,Ohio,74.01248911
1939,Okla.,194.3849121
1939,Ore.,219.7502313
1939,Pa.,186.6023634
1939,R.I.,416.8330956
1939,S.C.,60.36324786
1939,S.D.,1173.72093
1939,Tenn.,108.4261192
1939,Texas,115.9879455
1939,Utah,1002.209945
1939,Va.,394.2509363
1939,Vt.,1029.189944
1939,Wash.,1158.172983
1939,Wis.,768.03909
1939,W.Va.,99.09885796
1939,Wyo.,1392.33871
1940,Alaska,
1940,Ala.,115.1142355
1940,Ark.,72.02046036
1940,Ariz.,339.0781563
1940,Calif.,376.4460432
1940,Colo.,231.8141593
1940,Conn.,376.5222482
1940,D.C.,127.0289855
1940,Del.,36.05947955
1940,Fla.,114.229765
1940,Ga.,93.87624239
1940,Hawaii,
1940,Iowa,212.5936145
1940,Idaho,337.5478927
1940,Ill.,84.14927261
1940,Ind.,16.64724731
1940,Kan.,450.3076063
1940,Ky.,97.63903463
1940,La.,47.80590717
1940,Mass.,498.7262622
1940,Md.,233.8499184
1940,Maine,837.7502945
1940,Mich.,299.6895579
1940,Minn.,300.3046595
1940,Mo.,15.54410988
1940,Miss.,0
1940,Mont.,476.4336918
1940,N.C.,210.2825965
1940,N.D.,149.0625
1940,Neb.,129.0273556
1940,N.H.,147.6626016
1940,N.J.,302.011976
1940,N.M,216.6666667
1940,Nev.,0
1940,N.Y.,212.2213139
1940,Ohio,22.40583057
1940,Okla.,60.3655914
1940,Ore.,671.1325967
1940,Pa.,148.6156023
1940,R.I.,467.7329624
1940,S.C.,32.28180862
1940,S.D.,253.8221529
1940,Tenn.,95.14480409
1940,Texas,249.9066148
1940,Utah,1363.224638
1940,Va.,203.8419118
1940,Vt.,241.046832
1940,Wash.,919.6264368
1940,Wis.,636.4301623
1940,W.Va.,29.81122181
1940,Wyo.,393.6
1941,Alaska,
1941,Ala.,297.5017229
1941,Ark.,273.8953784
1941,Ariz.,615.3061224
1941,Calif.,174.4300124
1941,Colo.,661.6992883
1941,Conn.,364.5761741
1941,D.C.,488.2198953
1941,Del.,1268.363636
1941,Fla.,459.7174021
1941,Ga.,294.1176471
1941,Hawaii,
1941,Iowa,197.8924127
1941,Idaho,101.996008
1941,Ill.,613.1394622
1941,Ind.,381.6106804
1941,Kan.,764.4759207
1941,Ky.,610.5169972
1941,La.,35.04428341
1941,Mass.,474.0487583
1941,Md.,384.2916884
1941,Maine,557.6877934
1941,Mich.,1119.526681
1941,Minn.,35.33848418
1941,Mo.,175.163999
1941,Miss.,0
1941,Mont.,161.2338858
1941,N.C.,658.4285316
1941,N.D.,223.1707317
1941,Neb.,34.59119497
1941,N.H.,202.0408163
1941,N.J.,1044.569817
1941,N.M,778.0632411
1941,Nev.,275.8333333
1941,N.Y.,789.5304138
1941,Ohio,1132.789595
1941,Okla.,88.74889478
1941,Ore.,607.5163399
1941,Pa.,1011.29553
1941,R.I.,57.66073871
1941,S.C.,481.9571865
1941,S.D.,61.33768352
1941,Tenn.,278.1365624
1941,Texas,308.3447229
1941,Utah,281.1252269
1941,Va.,1035.288967
1941,Vt.,384.6264368
1941,Wash.,118.2224707
1941,Wis.,993.1050955
1941,W.Va.,592.2546419
1941,Wyo.,381.7813765
1942,Alaska,
1942,Ala.,126.1645699
1942,Ark.,232.7263531
1942,Ariz.,740.8396947
1942,Calif.,1222.029735
1942,Colo.,505.4806828
1942,Conn.,587.8627232
1942,D.C.,190.7168038
1942,Del.,90.14336918
1942,Fla.,189.632729
1942,Ga.,168.7597382
1942,Hawaii,
1942,Iowa,254.7765478
1942,Idaho,395.083682
1942,Ill.,132.6858632
1942,Ind.,94.98146564
1942,Kan.,535.2272727
1942,Ky.,84.07222024
1942,La.,123.7038492
1942,Mass.,564.9084668
1942,Md.,535.2102102
1942,Maine,540.5840286
