freq,nrg_bal,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,REN_HEAT_CL,PC,AL	33.138 	37.757 	30.964 	33.15 	37.056 	34.73 	31.257 	31.427 	39.1 	37.766 	30.977 	34.609 	32.495 	23.969 	21.993 	24.754 	25.125 	21.2 	22.087 
A,REN_HEAT_CL,PC,AT	20.165 	22.817 	24.491 	27.142 	27.195 	29.626 	30.959 	31.517 	33.077 	33.222 	33.375 	33.231 	33.48 	33.67 	34.178 	33.929 	34.995 	33.006 	30.579 
A,REN_HEAT_CL,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.626 	32.768 	32.329 	28.739 	52.685 	55.873 	56.623 	53.308 	: 
A,REN_HEAT_CL,PC,BE	2.927 	3.418 	3.812 	4.713 	5.121 	6.087 	6.71 	6.718 	7.108 	7.639 	7.751 	7.942 	8.247 	8.2 	8.29 	8.319 	8.447 	9.225 	10.444 
A,REN_HEAT_CL,PC,BG	14.056 	14.257 	14.79 	13.862 	17.262 	21.639 	24.334 	24.768 	27.241 	29.234 	28.518 	28.903 	29.99 	29.854 	33.25 	35.423 	37.178 	30.024 	31.668 
A,REN_HEAT_CL,PC,CY	9.264 	9.97 	10.434 	13.064 	14.469 	17.313 	18.813 	19.977 	21.764 	22.537 	22.186 	24.066 	24.69 	26.42 	37.164 	35.051 	37.117 	42.595 	41.56 
A,REN_HEAT_CL,PC,CZ	9.918 	10.835 	11.234 	12.37 	12.918 	14.26 	14.096 	15.388 	16.249 	17.706 	19.528 	19.787 	19.879 	19.728 	20.642 	22.632 	23.535 	24.347 	25.802 
A,REN_HEAT_CL,PC,DE	7.198 	7.711 	8.41 	10.249 	10.33 	11.155 	12.055 	12.607 	13.423 	13.408 	13.409 	13.432 	13.032 	13.369 	14.22 	14.504 	14.481 	15.519 	17.485 
A,REN_HEAT_CL,PC,DK	20.501 	22.612 	23.661 	26.707 	27.964 	29.403 	30.369 	31.889 	33.201 	34.679 	38.014 	39.536 	41.078 	44.063 	44.968 	47.302 	51.073 	49.199 	50.11 
A,REN_HEAT_CL,PC,EE	33.361 	32.369 	30.838 	33.037 	35.997 	42.028 	43.162 	44.55 	43.218 	43.112 	44.934 	50.031 	51.765 	52.217 	53.671 	52.193 	58.834 	61.347 	65.442 
A,REN_HEAT_CL,PC,EL	13.465 	13.384 	13.095 	14.675 	14.718 	17.247 	18.658 	20.111 	24.122 	27.418 	27.87 	26.557 	25.422 	28.246 	30.123 	30.048 	31.941 	31.081 	30.614 
A,REN_HEAT_CL,PC,ES	9.55 	9.409 	11.376 	11.246 	11.618 	13.218 	12.498 	13.469 	13.969 	13.967 	15.557 	16.85 	15.898 	16.205 	16.135 	17.203 	17.966 	17.391 	20.04 
A,REN_HEAT_CL,PC,EU27_2020	11.735 	12.437 	13.21 	14.819 	15.325 	16.786 	16.995 	17.415 	18.582 	19.044 	19.929 	20.307 	20.4 	20.819 	21.604 	22.432 	22.983 	22.932 	24.858 
A,REN_HEAT_CL,PC,FI	39.504 	39.116 	41.409 	41.434 	43.078 	42.888 	43.973 	45.732 	48.23 	50.772 	51.955 	52.618 	53.704 	54.593 	54.905 	56.884 	57.622 	52.084 	58.547 
A,REN_HEAT_CL,PC,FR	12.531 	12.363 	11.696 	12.787 	13.283 	15.038 	16.16 	15.263 	16.589 	17.608 	18.047 	18.879 	20.12 	20.599 	21.216 	22.36 	23.368 	23.938 	26.321 
A,REN_HEAT_CL,PC,HR	29.406 	30.002 	29.069 	29.301 	28.818 	31.298 	32.881 	33.82 	36.554 	37.308 	36.219 	38.619 	37.636 	36.627 	36.65 	36.791 	36.928 	38.006 	37.212 
A,REN_HEAT_CL,PC,HU	6.45 	9.935 	11.38 	13.544 	11.97 	17.019 	18.077 	20.043 	23.313 	23.699 	21.283 	21.335 	21.027 	19.902 	18.204 	18.16 	17.72 	17.898 	20.348 
A,REN_HEAT_CL,PC,IE	2.873 	3.442 	3.592 	3.786 	3.513 	4.181 	4.281 	4.657 	4.849 	5.185 	6.261 	6.184 	6.243 	6.624 	6.381 	6.344 	6.264 	4.932 	6.302 
A,REN_HEAT_CL,PC,IS	52.343 	53.725 	57.194 	60.91 	64.08 	64.412 	66.188 	68.1 	68.75 	65.893 	67.025 	69.196 	78.245 	78.253 	79.949 	80.896 	80.504 	79.621 	83.555 
A,REN_HEAT_CL,PC,IT	5.713 	8.223 	10.094 	13.334 	15.311 	16.431 	15.642 	13.818 	16.984 	18.092 	18.914 	19.255 	18.887 	20.083 	19.279 	19.699 	19.949 	19.335 	20.566 
A,REN_HEAT_CL,PC,LT	30.439 	29.318 	29.227 	29.094 	31.992 	33.72 	32.534 	32.788 	34.535 	36.873 	40.628 	46.081 	46.563 	46.495 	46.016 	47.372 	50.35 	48.624 	51.54 
A,REN_HEAT_CL,PC,LU	1.822 	3.612 	3.63 	4.354 	4.571 	4.629 	4.704 	4.736 	4.932 	5.33 	7.07 	6.858 	7.058 	7.45 	8.362 	8.687 	12.614 	12.899 	15.411 
A,REN_HEAT_CL,PC,LV	42.488 	42.679 	42.594 	42.363 	42.937 	47.887 	40.745 	44.71 	47.265 	49.65 	52.15 	51.738 	51.812 	54.582 	55.413 	57.749 	57.094 	57.365 	60.987 
A,REN_HEAT_CL,PC,ME	: 	52.907 	51.358 	49.126 	46.008 	62.078 	76.478 	81.291 	79.793 	68.492 	67.618 	68.543 	69.085 	65.679 	64.497 	62.648 	64.782 	63.498 	64.891 
A,REN_HEAT_CL,PC,MK	23.308 	24.681 	24.917 	22.491 	24.642 	29.207 	26.503 	27.338 	29.595 	31.762 	34.991 	34.474 	30.924 	36.301 	32.45 	32.066 	33.729 	32.325 	37.165 
A,REN_HEAT_CL,PC,MT	1.035 	1.028 	1.363 	1.507 	1.696 	2.011 	7.282 	12.026 	13.397 	15.399 	15.028 	14.639 	16.854 	19.314 	22.825 	23.602 	23.027 	32.776 	37.98 
A,REN_HEAT_CL,PC,NL	2.178 	2.379 	2.7 	2.914 	3.024 	3.37 	3.1 	3.688 	3.768 	4.002 	4.925 	5.278 	5.192 	5.75 	6.16 	7.217 	8.053 	7.826 	8.589 
A,REN_HEAT_CL,PC,NO	25.549 	28.837 	28.435 	29.326 	30.918 	31.814 	33.727 	34.671 	33.968 	32.758 	30.907 	32.674 	32.346 	32.464 	33.099 	35.384 	36.126 	32.304 	34.139 
A,REN_HEAT_CL,PC,PL	10.207 	10.161 	10.168 	10.46 	10.846 	11.607 	11.812 	13.24 	13.497 	14.265 	14.237 	14.795 	14.919 	14.779 	21.473 	22.005 	22.143 	21.003 	22.73 
A,REN_HEAT_CL,PC,PT	32.49 	32.075 	34.234 	34.951 	37.451 	37.931 	33.814 	35.184 	33.153 	34.628 	40.454 	40.1 	41.614 	41.022 	40.924 	41.657 	41.546 	42.681 	45.545 
A,REN_HEAT_CL,PC,RO	17.337 	17.928 	17.582 	19.465 	23.167 	26.433 	27.227 	24.306 	25.745 	26.195 	26.739 	25.886 	26.865 	26.581 	25.434 	25.739 	25.327 	24.573 	26.251 
